NumReaders, AvgReadTime, NumReads, NumWriters, AvgWriteTime, NumWrites, MaxWriteTime
820, 35200.742, 16598506, 820, 183545.34, 3092626, 386881203
825, 62548.863, 12193243, 825, 215918.56, 3539997, 427871904
830, 68547.64, 11646354, 830, 201600.78, 3963822, 395685280
835, 74318.695, 10777974, 835, 193128.34, 4149027, 360934076
840, 40648.004, 14896331, 840, 224361.34, 2607806, 519090170
845, 77543.336, 10419083, 845, 196824.02, 4109574, 374118941
850, 64693.73, 11847873, 850, 208467.34, 3677165, 396576606
855, 162.24178, 28251944, 855, 146267.3, 2002357, 90345552
860, 38692.316, 19841696, 860, 225378.77, 3502374, 407637731
865, 47048.438, 17276030, 865, 303320.9, 2690190, 609698664
870, 151.58313, 32331208, 870, 155629.88, 5475650, 77854158
875, 86546.3, 9472044, 875, 188708.33, 4352725, 379072763
880, 71063.35, 11990276, 880, 225526.08, 3774336, 460421055
885, 59696.137, 13417690, 885, 272898.03, 2921416, 689027291
890, 85618.64, 9258382, 890, 190315.58, 4156805, 518335611
895, 77163.09, 10903224, 895, 217774.19, 3878893, 434824260
900, 144.632, 23739912, 900, 154138.16, 4020738, 93866431
905, 71241.766, 11518437, 905, 228685.47, 3583698, 471755051
910, 68035.445, 12326060, 910, 235256.3, 3569388, 505496633
915, 32303.533, 16909636, 915, 176669.88, 3365978, 435796288
920, 62078.92, 14098865, 920, 272300.28, 3115640, 499437870
925, 60704.176, 13311966, 925, 278077.1, 2932387, 612630865
930, 54879.176, 15590767, 930, 292755.72, 2820866, 690770513
935, 57050.086, 15379140, 935, 371860.38, 2423956, 782603790
940, 102519.695, 8859097, 940, 213440.97, 4256851, 381385845
945, 37833.227, 16142903, 945, 213716.7, 2845559, 380287290
950, 75945.266, 11826926, 950, 238453.67, 3790060, 499086398
955, 221.24796, 31868216, 955, 162026.88, 5559710, 125195906
960, 168.74365, 26113729, 960, 173196.69, 3850453, 99455168
965, 168.86049, 24325708, 965, 170719.19, 5489814, 151488801
970, 28142.434, 27974081, 970, 587619.8, 1437301, 827358898
975, 51277.125, 13463617, 975, 210187.6, 3245229, 356607877
980, 81709.31, 11315746, 980, 235587.72, 3936940, 409681044
985, 50932.547, 18237470, 985, 319379.53, 2907361, 513180485
990, 48703.285, 18223537, 990, 297488.56, 2937768, 371966819
995, 31119.434, 18646385, 995, 291070.72, 1963215, 427181897
1000, 32174.959, 24464085, 1000, 385066.66, 2335137, 863508703
