NumReaders, AvgReadTime, NumReads, NumWriters, AvgWriteTime, NumWrites, MaxWriteTime
635, 1283868.2, 796924, 635, 1.5211396E7, 127354, 10716673214
640, 1992999.5, 524922, 640, 667327.2, 67140, 11925524746
645, 6587.3, 13668135, 645, 523844.25, 1269693, 1332543722
650, 6915.7153, 19908447, 650, 44553.027, 680485, 1001722731
655, 885359.75, 902515, 655, 3.4330512E7, 104921, 10261857439
660, 273578.22, 606837, 660, 1.8582798E7, 115945, 4584802107
665, 1.2282212E7, 81778, 665, 1.1462895E7, 12630, 9053000807
670, 100212.75, 5148051, 670, 2938927.2, 230444, 4933127807
675, 7890430.5, 188850, 675, 2.787534E7, 44477, 16814547507
680, 2846546.8, 131044, 680, 4.3148212E7, 24218, 2129505295
685, 1835113.8, 493355, 685, 709917.06, 65555, 9306170406
690, 98752.914, 1581953, 690, 2134297.0, 265190, 1035541249
695, 1055909.2, 438019, 695, 2.6462722E7, 78845, 3167079063
700, 933258.0, 341356, 700, 724956.8, 42230, 3986475140
705, 4204648.5, 166421, 705, 1.25359392E8, 22816, 8538720228
710, 1.1534832E7, 544222, 710, 6.8532216E7, 136792, 25397348982
715, 2.691131E7, 21445, 715, 6298551.5, 10421, 7117306385
720, 1753.5454, 23398247, 720, 20754.264, 407049, 1001941847
725, 1.2103729E7, 17922, 725, 1.4545808E8, 2935, 2297768151
730, 8287001.0, 57608, 730, 3.914082E7, 7788, 3072794141
735, 276269.66, 2400617, 735, 1.49538E7, 418542, 9103212318
740, 1103013.5, 599437, 740, 2.7024996E7, 73061, 7588357781
745, 351047.9, 731942, 745, 1.6516497E7, 119764, 2897806113
750, 7177456.0, 240357, 750, 3.6910928E7, 69531, 16078478187
755, 9213333.0, 112785, 755, 1.2180272E7, 19730, 12479463659
760, 1.1784385E7, 139457, 760, 3.5300284E7, 18145, 11232152752
765, 59589.336, 6307283, 765, 1795277.8, 356314, 4295422237
770, 2550166.5, 320016, 770, 2.6068404E7, 57229, 4146098668
775, 2776893.2, 551595, 775, 2179638.8, 105370, 14356685485
780, 1978328.9, 865228, 780, 3.5437452E7, 111895, 20623380417
785, 32644.22, 6293681, 785, 3704056.5, 544581, 2577425454
790, 1390920.9, 535810, 790, 1.4561078E7, 82693, 8590402125
795, 65904.29, 1033308, 795, 837262.56, 111980, 1198129697
800, 7610.8433, 18948500, 800, 882390.06, 1447208, 4007411312
805, 649855.2, 140164, 805, 2054297.2, 45746, 1209618611
810, 225580.97, 444125, 810, 6937482.0, 97133, 1250740111
815, 1060145.6, 110143, 815, 9135026.0, 26563, 1787416929
820, 947747.4, 197124, 820, 1.948634E7, 51388, 2385468458
825, 2.4624762E7, 6896, 825, 6629019.5, 1316, 1744667772
830, 1416.457, 19411874, 830, 3256.5146, 778997, 999714435
835, 110331.76, 13100305, 835, 6830071.5, 891456, 12154731124
840, 3754940.0, 342403, 840, 1.15264064E8, 58968, 14904801350
845, 1908233.9, 637077, 845, 2.8611162E7, 135564, 7843708010
850, 836874.4, 667064, 850, 3652688.5, 147759, 5036502032
855, 1.1857146E7, 72782, 855, 7.8549592E7, 17203, 9897591234
860, 3269551.5, 196404, 860, 7.049668E7, 28823, 7507018502
865, 1.2046515E7, 75811, 865, 5037662.5, 15885, 8840913558
870, 695686.8, 281405, 870, 1.9345636E7, 41070, 2919996292
875, 1095797.2, 3579789, 875, 1.2130873E7, 689068, 9543388919
880, 2825209.5, 281261, 880, 1.4616563E7, 72978, 8871990195
885, 4.55811456E8, 1975, 885, 6.7249792E7, 776, 8820710494
890, 5.2570424E7, 40619, 890, 7.1386381E8, 5786, 15851173329
895, 551356.8, 352842, 895, 493080.97, 65375, 2301859652
900, 27053.238, 21487280, 900, 1073155.9, 1253335, 7081924168
905, 1491.6791, 30229757, 905, 3945.3032, 633609, 999507515
910, 2974229.2, 174835, 910, 2.7527024E7, 33190, 6189803407
915, 418453.75, 223681, 915, 1.5218192E7, 30339, 1629868114
920, 55370.21, 3295733, 920, 2604765.0, 573379, 1850802456
925, 1113.4165, 41800846, 925, 6571.412, 690548, 971983974
930, 197354.62, 1002387, 930, 5766978.5, 170349, 1291606580
935, 34669.93, 11557521, 935, 1668672.9, 1058429, 6561145776
940, 15919.499, 6967369, 940, 1144803.0, 689820, 2543469520
945, 5038922.5, 92219, 945, 1180266.0, 27474, 5553412239
950, 181957.16, 3888793, 950, 1.2556401E7, 270678, 9766054594
955, 589442.6, 451221, 955, 4734985.0, 55361, 3839657867
960, 1146124.6, 99172, 960, 474627.88, 19701, 1336934574
965, 346854.38, 806160, 965, 5291983.0, 444561, 2576901465
970, 28113.021, 3293154, 970, 5788647.0, 22915, 1173216207
975, 290993.1, 1835975, 975, 116088.6, 350788, 5183112431
980, 959579.44, 451633, 980, 437530.28, 61830, 4300200258
985, 1564835.9, 162870, 985, 632256.8, 23416, 2468246388
990, 423492.47, 195014, 990, 307513.16, 60321, 1091148348
995, 2208154.8, 181303, 995, 1992252.4, 49223, 5450890556
1000, 4761517.0, 789693, 1000, 3.36258688E8, 50209, 27023308841
